Order,Family,ScientificName,CommonName,RangeExtent,AreaOfOccupancy,LongTermTrend,SRank,GRrank
Coleoptera,Cerambycidae,Strangalia sexnotata,Six-spotted Flower Strangalia,F,C,U,SU,GNR
Coleoptera,Cerambycidae,Strophiona nitens,Chestnut Bark Long-horned Beetle,F,C,AD,S3,G5
Coleoptera,Cerambycidae,Trachysida aspera,Rough Flower Longhorn Beetle,A,A,U,S1,G5
Coleoptera,Cerambycidae,Trachysida mutabilis,Variable Flower Longhorn Beetle,E,D,AF,S3,G5
Coleoptera,Cerambycidae,Trigonarthris atrata,a flower longhorn beetle,A,A,U,S1,GNR
Coleoptera,Cerambycidae,Trigonarthris proxima,Proximal Long-horned Beetle,AD,C,AF,S2S3,G5
Coleoptera,Cerambycidae,Trigonarthris subpubescens,Minnesotan Long-horned Beetle,EF,D,G,S3?,G5
Coleoptera,Cerambycidae,Typocerus acuticauda,Thin-tailed Long-horned Beetle,F,D,G,S4,GNR
Coleoptera,Cerambycidae,Typocerus deceptus,a longhorned beetle,F,C,U,SU,GNR
Coleoptera,Cerambycidae,Typocerus lugubris,Mournful Long-horned Beetle,E,C,AF,S3,GNR
Coleoptera,Cerambycidae,Typocerus velutinus,Banded Longhorn,F,FI,G,S4S5,G5
Coleoptera,Cerambycidae,Typocerus zebra,a longhorned beetle,A,B,U,S1,GNR
Coleoptera,Cerambycidae,Xestoleptura octonotata,Long-winged Long-horned Beetle,DE,C,AF,S2S3,GNR
Coleoptera,Scarabaeidae,Trichiotinus affinis,Hairy Flower Scarab,EF,EI,AF,S3S5,G5
Coleoptera,Scarabaeidae,Trichiotinus assimilis,Bee-mimic Beetle,E,D,AF,S3,G5
Coleoptera,Scarabaeidae,Trichiotinus bibens,a scarab beetle,Z,Z,U,SH,G4
Coleoptera,Scarabaeidae,Trichiotinus piger,Bee-like Flower Scarab,A,B,AF,S1,G5
Coleoptera,Scarabaeidae,Trichiotinus viridans,Greenish Flower Chafer,Z,Z,U,SH,G4
Diptera,Bombyliidae,Bombylius atriceps,Black-headed Bee Fly,A,A,U,S1,GNR
Diptera,Bombyliidae,Bombylius comanche,Comanche Bee Fly,C,C,U,SU,GNR
Diptera,Bombyliidae,Bombylius fraudulentus,Deceitful Bee Fly,BE,C,U,SU,GNR
Diptera,Bombyliidae,Bombylius fulvibasoides,a bee fly,A,A,U,S1,GNR
Diptera,Bombyliidae,Bombylius incanus,a bee fly,F,D,HI,S4,GNR
Diptera,Bombyliidae,Bombylius major,Major Bee Fly,F,EI,HI,S4S5,G5
Diptera,Bombyliidae,Bombylius mexicanus,Mexican Bee Fly,AC,C,U,SU,GNR
